"code","name","income_pc_relative_2009","income_pc_relative_2010","income_pc_relative_2011","income_pc_relative_2012","income_pc_relative_2013","income_pc_relative_2014","income_pc_relative_2015","income_pc_relative_2016","income_pc_relative_2017","income_pc_relative_2018","income_pc_relative_2019"
"0201000","Powiat boles³awiecki",64.72,61.93,62,64,67.16,68.85,71.52,72.09,71.13,70.59,69.58
"0202000","Powiat dzier¿oniowski",55.04,55.95,57.71,59,60.56,61.5,62.2,62,61.73,61.49,61.83
"0203000","Powiat g³ogowski",114.98,111.75,117.07,137.96,120.42,110.47,116.02,107.85,109.39,103.81,100.18
"0204000","Powiat górowski",39.69,39.24,43.46,44.19,46.32,47.29,47.32,46.66,47.61,47.26,47.2
"0205000","Powiat jaworski",49.63,51.38,57.09,57.26,57.69,58.78,60.84,57.92,57.77,58.73,59.76
"0206000","Powiat jeleniogórski",59.57,56.22,59.54,59.95,62.54,62.45,64.91,65.15,66.72,68.29,69.07
"0207000","Powiat kamiennogórski",52.47,52.85,55.15,52.67,54.84,55.74,57.67,56.79,55.73,57.06,56.67
"0208000","Powiat k³odzki",55.58,54.61,58.24,58.87,59.32,59.73,59.85,58.78,57.6,58.31,57.38
"0209000","Powiat legnicki",55.07,59.65,59.71,60.94,64.77,67.83,68.51,68.33,68.33,69.8,72.61
"0210000","Powiat lubañski",54.72,55.92,57.1,59.88,62.37,62.4,62.62,61.9,61.4,61.18,60.53
"0211000","Powiat lubiñski",137.83,141.28,148.16,182.6,155.67,141.95,144.44,133.57,137.37,130.13,123.01
"0212000","Powiat lwówecki",42.68,43.15,45.6,46.14,48.49,49.55,49.18,48.81,51.06,49.83,49.07
"0213000","Powiat milicki",46.59,50.36,52.39,54.95,56.2,57.61,59.97,61.45,60.58,60.8,61.66
"0214000","Powiat oleœnicki",69.15,69.87,69.76,69.67,72.44,71.98,73.82,73.09,73,76.7,77.37
"0215000","Powiat o³awski",77.68,83.29,79.58,87.19,86.04,85.27,85.06,87.09,90.7,92.94,96.36
"0216000","Powiat polkowicki",149.35,156.83,199.92,315.26,214.22,152.67,163.56,126,141.91,126.99,118.71
"0217000","Powiat strzeliñski",52.55,55.97,62.46,63.28,62.27,63.01,64.96,65.12,64.38,63.65,63.46
"0218000","Powiat œredzki",64.84,69.36,68.41,68.96,73.39,75.65,77.71,84.71,80.71,81.04,84.7
"0219000","Powiat œwidnicki",71.95,71.92,75.77,77.26,77.97,78.37,78.07,79.34,80.99,79.67,80.61
"0220000","Powiat trzebnicki",67.91,70.61,71.74,68.65,72.31,74.61,74.4,76.97,80.56,82.83,84.82
"0221000","Powiat wa³brzyski",75.68,75.51,78.3,78.19,69.63,67.61,68.34,67.31,67.06,66.8,50.95
"0222000","Powiat wo³owski",59.76,61.25,63.25,61.99,65.07,68.47,66.87,69.43,72.04,69.63,72.32
