"code","nuts","rel_edu2002","rel_edu2003","rel_edu2004","rel_edu2005","rel_edu2006","rel_edu2007","rel_edu2008","rel_edu2009","rel_edu2010","rel_edu2011","rel_edu2012","rel_edu2013","rel_edu2014","rel_edu2015"
1101506000,4,104.62,105.67,100.83,111.12,104.69,104.44,103.39,105.42,103.2,101.37,102.71,104.86,104.72,103.08
1101508000,4,102.22,103.4,98.22,103.1,105.74,104.64,101.49,100.83,102.39,101.14,100.89,101.11,99.54,101.82
1101520000,4,105.66,96.94,97.91,100.17,99.08,98.43,98.48,95.96,98,99.24,96.45,99.25,97.07,96.95
1101521000,4,116.88,115.66,120.37,108.7,101.4,102.26,99.9,103.58,95.93,102.38,94.7,97.85,95.18,103.01
1101661000,4,101.06,102.54,105.56,105.36,108.66,107.26,106.54,107.21,104.87,104.1,104.6,103.69,105.8,103.93
1101701000,4,116.11,113.14,101.35,100.49,99.55,98.79,99.8,100.07,97.13,98.95,98.33,97.99,98.3,98.37
1101707000,4,103.82,111,111.45,104.89,98.27,101.5,102.94,99.55,98.39,101.88,102.78,99.94,102.61,102.28
1101710000,4,109.9,101.56,99.85,101.59,96.08,96.38,95.99,98.6,92.98,96.29,98.03,98.51,97.78,95.4
1101712000,4,110.21,105.71,99.4,96.89,97.83,94.87,97.55,94.92,95.1,95.61,95.57,95.96,98.53,93.7
1101716000,4,109.91,105.05,103.3,103.23,96.48,98.77,97.52,95.75,99.44,101.95,103.43,102.5,103.13,98.26
1101762000,4,110.97,105.03,101.22,102.69,107.3,102.93,103.37,103,101.93,101.74,100.77,102.01,105.75,99.76
1101803000,4,103.32,94.53,94.58,96.14,97.43,93.92,101.84,94.39,99.18,95.99,97.12,96.29,98.48,96.14
1101809000,4,111.15,100.26,94.67,94.25,94.97,94.4,95.75,97.41,94.02,97.94,97.54,96.44,94.65,97.79
1101811000,4,91.71,100.86,103.13,100.78,94.21,94.47,94.78,97.71,92.81,96.9,94.69,95.09,94.43,95.4
1101814000,4,107.38,105.52,109.14,104.55,104.46,102.5,101.91,103.98,102.73,102.6,101.13,102.63,101.17,101.88
1101817000,4,112.09,122.49,108.84,106.16,105.48,99.98,104.76,105.6,103.64,104.05,104.42,102.79,106.25,101.53
1101818000,4,113.41,106.04,105.55,103.54,91.72,91.84,95.22,93.67,95.22,98.73,96.91,98.39,97.78,95.72
1101819000,4,118.95,112.73,101.1,96.89,97.45,98.23,102.21,100.4,101.32,96.09,100.86,99.74,98.9,96.82
1101902000,4,100.01,96.95,91.7,92.63,88.35,92.45,91.65,94.17,95.18,91.35,95.25,93.91,92.22,94.25
1101904000,4,114.41,116.55,113.72,95.4,96.32,97.72,96.99,100.27,95.52,97.85,94.81,101.05,97.26,99.25
1101905000,4,115.75,108.38,110.52,112.03,108.15,108.64,109.88,109.89,108.8,107.21,108.19,105.57,108.45,107.06
1101913000,4,116.14,112.12,106.36,100.69,96.35,101.27,104.92,99.5,101.06,97.75,97.37,100.84,99.93,103.98
1101915000,4,106.66,102.13,98.96,98.63,96.13,98.45,97.18,101.2,99.76,103.23,99.95,99.84,102.55,99.55
